バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
SIRIUS,SOLID STATE SQUAD,HARDSTYLE,kors k Vs. L.E.D.,3,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3327,1531,265,10,EX HARD CLEAR,AAA,2018-08-21 20:15
SIRIUS,SOLID STATE SQUAD†,HARDSTYLE,kors k Vs. L.E.D.,0,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,2017-12-29 17:46
SIRIUS,ワルツ第17番 ト短調”大犬のワルツ”,VALSE,virkato,19,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2791,1210,371,18,EX HARD CLEAR,AA,2018-06-04 16:28
Resort Anthem,Aegis,TECHNO,IT medalion,16,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2158,978,202,3,EX HARD CLEAR,AAA,2018-08-16 21:00
Resort Anthem,ALBIDA,HARD RENAISSANCE,DJ YOSHITAKA,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
Resort Anthem,Breaking the ground,HARDCORE,Art of Fighters,10,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2340,1086,168,3,EX HARD CLEAR,AAA,2018-07-11 21:20
Resort Anthem,Broken,TRANCE,dj TAKA feat.AiMEE,11,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2971,1387,197,1,FULLCOMBO CLEAR,AAA,2018-05-08 19:58
Resort Anthem,BROKEN EDEN,SYMPHONIC-TEK,MYTHOLOGIA by MLREC.,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,ASSIST CLEAR,---,2017-12-29 17:46
Resort Anthem,Dances with Snow Fairies,トレンディートランス,Dr.Honda,5,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2795,1238,319,21,EX HARD CLEAR,AA,2018-08-07 18:50
Resort Anthem,ELECTRIC MASSIVE DIVER,GABBA,L.E.D.-G,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3467,1627,213,17,EX HARD CLEAR,AAA,2018-02-28 22:50
Resort Anthem,Kailua,ENERGETIC HAWAIIAN TRANCE,kors k,4,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2023,920,183,8,EX HARD CLEAR,AAA,2018-08-10 20:33
Resort Anthem,PARADISE LOST,TRANCE CORE,Ryu☆ Vs. L.E.D.-G,5,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2887,1255,377,15,EX HARD CLEAR,AA,2018-05-14 21:09
Resort Anthem,perditus†paradisus,ANTHEM CORE,iconoclasm,17,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,3428,1485,458,16,EX HARD CLEAR,AA,2018-08-14 20:39
Resort Anthem,reunion,CYBER WALTZ,Tatsh,10,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,2959,1341,277,18,EX HARD CLEAR,AA,2018-06-12 20:24
Resort Anthem,Rock Da House,UK HARDCORE,M-Project fw. GUHROOVY,7,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2109,995,119,2,EX HARD CLEAR,AAA,2018-07-20 22:24
Resort Anthem,Sakura Reflection,HAPPY HARDCORE,Ryu☆,0,3,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Resort Anthem,sakura storm,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Resort Anthem,Session 9 -Chronicles-,ROCKIN' DRUM'N'BASS,PRASTIK DANCEFLOOR,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Resort Anthem,SPECIAL SUMMER CAMPAIGN!,BUCHIAGE TRANCE,Lucky Vacuum,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Resort Anthem,STELLAR WIND,HARD DANCE,L.E.D.,5,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2426,1091,244,2,EX HARD CLEAR,AA,2018-07-25 19:47
Resort Anthem,THE FALLEN,GOTH NU-STYLE GABBA,L.E.D.-G,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Resort Anthem,Vermillion,PSYCHE FUSION,Mystic Moon,1,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1878,870,138,10,ASSIST CLEAR,AAA,2018-04-17 22:07
Resort Anthem,Watch Out Pt.2,TECH-BREAKBEATS,DJ Mass MAD Izm* VS.DJ Yoshitaka,17,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2389,989,411,28,HARD CLEAR,AA,2018-07-18 21:02
Resort Anthem,夕焼け ～Fading Day～,AURAL ADRENALINE,JAKAZiD,2,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2627,1228,171,1,FULLCOMBO CLEAR,AAA,2018-02-28 22:14
Resort Anthem,旅人リラン,ELECLORE,XOGO BRYKK,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Resort Anthem,灼熱Beach Side Bunny,BROKEN SAMBA BREAK,DJ Mass MAD Izm*,175,7,0,0,0,---,NO PLAY,---,10,1491,572,347,32,HARD CLEAR,A,12,2548,1029,490,50,HARD CLEAR,A,2018-07-20 23:20
Resort Anthem,黒髪乱れし修羅となりて,撫子メタル,村正クオリア,7,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3163,1446,271,1,EX HARD CLEAR,AAA,2018-05-22 22:16
Lincle,532nm,HARDCORE,Ryu☆,2,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,2505,1162,181,0,FULLCOMBO CLEAR,AAA,2018-02-22 22:11
Lincle,Almace,TECHNO,Qrispy Joybox,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Lincle,BLACK.by X-Cross Fade,TECH-BREAKBEATS,DJ Mass MAD Izm*,62,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,12,2881,1242,397,42,HARD CLEAR,AA,2018-08-24 23:12
Lincle,Castle on the Moon,DANCE SPEED,青龍,2,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2137,962,213,13,EX HARD CLEAR,AA,2018-03-06 21:37
Lincle,DIAVOLO,TRANSCENDENTAL ETUDES,度胸兄弟,13,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2777,1216,345,36,HARD CLEAR,AA,2018-08-20 21:05
Lincle,Express Emotion,J-CORE,REDALiCE feat. Shihori,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,2319,1066,187,1,FULLCOMBO CLEAR,AAA,2018-03-27 21:46
Lincle,F,RENAISSANCE,D.J.Amuro,5,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3280,1496,288,0,FULLCOMBO CLEAR,AAA,2018-04-12 21:44
Lincle,Far east nightbird,DRUM'N'BASS,猫叉Master,0,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Lincle,fffff,HARD Pf,Five Hammer,2,4,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2698,1193,312,21,EX HARD CLEAR,AA,2018-02-11 15:56
Lincle,Flip Flap,CANDY HANDZ UP,kors k,0,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
Lincle,HAERETICUS,ECCENTRIC,D.J.Amuro Vs MAX MAXIMIZER,10,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2767,1232,303,9,EX HARD CLEAR,AA,2018-05-17 22:50
Lincle,I'm so Happy,HAPPY HARDCORE,Ryu☆,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Lincle,NNRT,ELECTRO GOTHIC,Levaslater,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Lincle,quaver♪,HAPPY,Risk Junk,1,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,857,381,95,---,FAILED,E,2017-12-30 17:42
Lincle,SA.YO.NA.RA. SUPER STAR,ONLY ONE FINALE,SUPER STAR 満-MITSURU-,2,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1575,723,129,5,ASSIST CLEAR,AAA,2018-05-17 21:28
Lincle,SHADE,TECHNO,DJ MURASAME vs dj Killer,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Lincle,Snake Stick,TECH-BREAKBEATS,DJ Yoshitaka VS. DJ Mass MAD Izm*,21,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2317,966,385,38,HARD CLEAR,AA,2018-08-02 20:48
Lincle,The Limbo,CYBER PUNK,STN,12,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3037,1391,255,9,EX HARD CLEAR,AAA,2018-07-31 20:34
Lincle,The Sampling Paradise,HARD TRANCE,Mamonis,12,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2756,1243,270,12,EX HARD CLEAR,AAA,2018-07-26 20:54
Lincle,Thunderbolt,RAVERS DANCE SPEED,雷龍,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
Lincle,TITANS RETURN,DRUMSTEP,L.E.D.,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2343,1079,185,1,FULLCOMBO CLEAR,AAA,2018-07-12 21:14
Lincle,Todestrieb,SACRED TRANCE,Rche,5,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3237,1517,203,1,FULLCOMBO CLEAR,AAA,2018-02-27 22:15
Lincle,WONDER WALKER,HARD TRANCE,L.E.D.,3,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3581,1678,225,1,FULLCOMBO CLEAR,AAA,2018-04-25 21:12
Lincle,YAKSHA,TERROR CORE,Neulakyussra,3,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3448,1530,388,19,EX HARD CLEAR,AA,2018-03-13 21:57
Lincle,天空の夜明け,ANTHEM,Cuvelia,12,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3697,1685,327,9,EX HARD CLEAR,AAA,2018-08-07 19:02
Lincle,子供の落書き帳,PROGRESSIVE,佐々木博史,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2237,975,287,11,EX HARD CLEAR,AA,2018-01-25 22:29
Lincle,恋する☆宇宙戦争っ！！,Hi-BLEEP,Prim,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,3270,1471,328,8,EX HARD CLEAR,AAA,2018-05-03 14:33
Lincle,聖人の塔,BATTLE TRACK,Beridzebeth,2,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2658,1180,298,12,EX HARD CLEAR,AA,2018-04-24 20:33
Lincle,蛇神,ORIENTAL MYTHOLOGY,Zektbach,3,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2606,1186,234,3,EX HARD CLEAR,AAA,2018-07-31 19:09
tricoro,405nm (Ryu☆mix),HARDCORE,Another Infinity,9,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2441,1147,147,0,FULLCOMBO CLEAR,AAA,2018-05-29 19:00
tricoro,8bit Princess,CHIPTUNE,seiya-murai feat. ALT,3,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,2484,1172,140,0,FULLCOMBO CLEAR,AAA,2018-01-17 21:46
tricoro,BLUE STRAGGLER,HARD DANCE,L.E.D.,3,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2420,1113,194,2,FULLCOMBO CLEAR,AAA,2018-05-16 20:37
tricoro,Confiserie,HARD ELECTRIC POP,L.E.D. vs S-C-U,22,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3247,1468,311,8,EX HARD CLEAR,AA,2018-08-14 21:00
tricoro,Cookie Bouquets,BREAK CORE,L.E.D. vs TOMOSUKE fw.crimm,2,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,3218,1517,184,0,FULLCOMBO CLEAR,AAA,2018-03-28 22:24
tricoro,DAY DREAM,DARK PROGRESSIVE,Mutsuhiko Izumi,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1747,744,259,12,EX HARD CLEAR,AA,2018-08-01 21:22
tricoro,Devilz Staircase,SYMPHONIC BREAK BEATS,OSTER project,2,3,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2812,1221,370,15,EX HARD CLEAR,AA,2018-01-07 17:15
tricoro,Elemental Creation,HARD RENAISSANCE,dj TAKA meets DJ YOSHITAKA,25,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3740,1683,374,12,EX HARD CLEAR,AA,2018-07-26 22:11
tricoro,examination leave,VACATION DANCE,dj razzle dazzle,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,3231,1531,169,1,FULLCOMBO CLEAR,AAA,2018-05-08 19:16
tricoro,FLOWER,TRANCE CORE,DJ YOSHITAKA,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,GAIA,SPEED DANCE,猫叉L.E.D.Master+,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
tricoro,Hollywood Galaxy,DRUM'N'BASS,dj TAKA,3,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2437,1098,241,17,EX HARD CLEAR,AA,2018-07-25 19:53
tricoro,Illegal Function Call,ORBITALIC CORE,U1-ASAMi,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,JOMANDA,HARD RENAISSANCE,DJ YOSHITAKA,2,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3232,1443,346,25,HARD CLEAR,AA,2018-08-02 21:28
tricoro,Liberation,TRANCE,dj TAKA,11,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3523,1651,221,9,EX HARD CLEAR,AAA,2018-08-07 19:10
tricoro,Little Star,J-CORE,REDALiCE feat. Ayumi Nomiya,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,neu,NIENTE,少年ラジオ,3,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3396,1510,376,19,EX HARD CLEAR,AA,2018-01-05 22:37
tricoro,New Decade IIDX Edition,SPEED DANCE CORE,Sota F.,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,Plan 8,HAPPY GABBA,Ryu☆,17,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2735,1170,395,34,HARD CLEAR,AA,2018-08-03 22:32
tricoro,POINT ZERO,DRUM'N'BASS,猫叉Master+,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2017-12-29 17:46
tricoro,Proof of the existence,HARD ELECTRONICA,猫叉Master+,3,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2822,1218,386,10,EX HARD CLEAR,AA,2018-06-12 20:01
tricoro,Rainbow after snow,DRUM'N'BASS,猫叉Master feat.林ももこ,4,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2056,980,96,1,FULLCOMBO CLEAR,AAA,2018-07-12 20:12
tricoro,Re:GENERATION,EMOTIONAL SENTENCE,TAG feat. ERi,12,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2094,966,162,1,EX HARD CLEAR,AAA,2018-07-30 20:21
tricoro,S!ck,DRUMSTEP,Eagle,23,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2495,1139,217,3,EX HARD CLEAR,AAA,2018-08-23 20:19
tricoro,Shining World,ELECTRO POP,DJ Genki feat. Yukacco,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
tricoro,Sol Cosine Job 2,FREEFORM HARDCORE,DJ TECHNORCH,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2778,1213,352,9,EX HARD CLEAR,AA,2018-04-17 21:29
tricoro,STULTI,GRAVIOL,MAX MAXIMIZER VS DJ TOTTO,6,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2257,942,373,19,EX HARD CLEAR,AA,2018-03-07 20:53
tricoro,SYNC-ANTHEM,LATIN EURO,Tatsh feat. 星野奏子,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,Take My Life,EUROBEAT,Y&Co.,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2755,1276,203,1,FULLCOMBO CLEAR,AAA,2018-04-16 22:17
tricoro,Thor's Hammer,TRANSCENDENTAL ETUDES,ユニバーサル度胸兄弟,23,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2520,1069,382,29,HARD CLEAR,A,2018-08-20 21:07
tricoro,Timepiece phase II,PROGRESSIVE ROCK,佐々木博史,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2899,1283,333,10,EX HARD CLEAR,AA,2018-05-14 21:06
tricoro,Timepiece phase II (CN Ver.),PROGRESSIVE ROCK,佐々木博史,19,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2553,1094,365,11,EX HARD CLEAR,AA,2018-08-23 21:45
tricoro,True Blue,ESSENTIALLY,dj TAKA feat.AiMEE,1,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3345,1505,335,6,EX HARD CLEAR,AA,2018-02-06 21:32
tricoro,Valanga,ART CORE,DJ TOTTO,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,VEGA,UNIVERSAL J-CORE,REDALiCE,2,5,0,0,0,---,NO PLAY,---,9,1909,882,145,4,EX HARD CLEAR,AAA,11,2933,1363,207,0,FULLCOMBO CLEAR,AAA,2018-03-23 22:25
tricoro,ZED,DUB STEP,USAO,13,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2578,1189,200,1,EX HARD CLEAR,AAA,2018-08-24 22:14
tricoro,Zirkfied,SPACE REQUIEM,iconoclasm,5,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3341,1454,433,15,EX HARD CLEAR,AA,2018-01-18 23:04
tricoro,ΕΛΠΙΣ,ROMANTIC SCHOOL VARIATIONS,dj TAKA,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2870,1295,280,2,FULLCOMBO CLEAR,AAA,2018-02-24 21:00
tricoro,†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),Hi-CORE,夏色ビキニのPrim,1,3,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3112,1355,402,25,EX HARD CLEAR,AA,2018-02-08 21:44
tricoro,たまゆら,PROGRESSIVE,佐々木博史,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
tricoro,アストライアの双皿,ZODIAC ORACLE 7,ZODIACSYNDICATE,2,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2735,1196,343,18,EX HARD CLEAR,AA,2018-04-20 22:13
tricoro,キャトられ恋はモ～モク,Hi-ν BLEEP,ギュ～っとしたいPrim,21,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3458,1539,380,12,EX HARD CLEAR,AA,2018-08-24 22:19
tricoro,シュレーディンガーの猫,TOY CONTEMPORARY,Cait Sith,3,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3149,1455,239,3,HARD CLEAR,AAA,2018-08-24 22:17
tricoro,トリカゴノ鳳凰,歌謡 DRUM & BASS,L.E.D. Vs. 幽閉サテライト,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3378,1519,340,12,EX HARD CLEAR,AA,2018-02-24 21:28
tricoro,仮想空間の旅人たち,TECHNO,DJ MURASAME,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2017-12-29 17:46
tricoro,即席！脳直★ミュージックシステム,AKIBA-POP,MOSAIC.WAV,2,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3140,1385,370,9,EX HARD CLEAR,AA,2018-04-23 21:01
tricoro,狂イ咲ケ焔ノ華,Hi-GOTH,覚醒ノPrim,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
tricoro,龍と少女とデコヒーレンス,EPIC TECHNO,黒猫ダンジョン,2,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2795,1288,219,0,FULLCOMBO CLEAR,AAA,2018-01-25 22:34
SPADA,Adularia,ARTCORE,DJ TOTTO,2,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2558,1165,228,11,EX HARD CLEAR,AA,2018-03-29 23:08
SPADA,Ancient Scapes,DYNASTIC FREEFORM,Durandal,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
SPADA,Ancient Scapes†LEGGENDARIA,DYNASTIC FREEFORM,Durandal,12,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,3885,1784,317,20,EX HARD CLEAR,AA,2018-08-10 21:12
SPADA,ATHER,ASTRAL HARDCORE,TAG underground,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
SPADA,BLUE DRAGON(雷龍RemixIIDX),RAVERS DANCE SPEED,青龍,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,FAILED,---,2017-12-29 17:46
SPADA,BRAINSTORM,TRANCECORE MEETS GABBA,Hardcore United Tokyo(teranoid & DJ TECHNORCH),10,4,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2608,1211,186,11,EX HARD CLEAR,AAA,2018-08-21 20:32
SPADA,Close the World feat. a☆ru,J-CORE,天叢雲剣,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
SPADA,Critical Crystal,DANCE SPEED,青龍,1,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2703,1242,219,3,FULLCOMBO CLEAR,AAA,2018-03-23 21:47
SPADA,DARK LEGACY,DARK ELEMENT,BaSTeT,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,3262,1489,284,7,EX HARD CLEAR,AAA,2018-03-22 21:46
SPADA,diagram,GLITCH HOP,Expander,3,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,2593,1165,263,8,EX HARD CLEAR,AA,2018-08-24 22:59
SPADA,Elektrick U-Phoria,UK HARDCORE,DJ Noriken,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2924,1378,168,0,FULLCOMBO CLEAR,AAA,2018-02-21 21:25
SPADA,Feel The Beat,HARDCORE RAVE,Falsion,2,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3152,1379,394,5,EX HARD CLEAR,AA,2018-03-27 22:50
SPADA,Feel The Beat†LEGGENDARIA,HARDCORE RAVE,Falsion,8,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,12,3796,1646,504,13,EX HARD CLEAR,AA,2018-01-17 23:22
SPADA,Idola,REPLICANT CORE,iconoclasm feat.GUMI,3,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3237,1464,309,5,FULLCOMBO CLEAR,AA,2018-02-08 21:31
SPADA,Immortal,J-CORE,DJ NAGAI,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2812,1253,306,12,EX HARD CLEAR,AA,2018-02-27 21:52
SPADA,Insane Techniques,Hi-TECH FULL ON,kors k,9,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,2279,1050,179,6,EX HARD CLEAR,AAA,2018-08-14 20:36
SPADA,INSOMNIA,FUNKOT,ジャカルタファンクブラザーズ,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,2017-12-29 17:46
SPADA,invoker,TRIBE CORE,Caladborg,3,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2838,1252,334,14,EX HARD CLEAR,AA,2018-02-27 22:25
